ResourceKeyID,ResourceKey,ResourceType,AllowHTML,KeyDescription,KeyTitle,ContentsGroupID,CreatedDate
2,HomeWelcomeText,Static,1,NULL,Home Content,2,2010-03-17 00:00:00
3,AboutPageContent,Static,1,NULL,About Content,2,2010-03-17 00:00:00
7,DownloadDataSetPageContent,Static,1,NULL,Download Dataset Content,2,2010-03-17 00:00:00
9,DownloadGuidancePageContent,Static,1,NULL,Download Guidance Content,2,2010-03-17 00:00:00
11,EventsAndMeetingsPageContent,Static,1,NULL,Events and Meetings Content,2,2010-03-17 00:00:00
15,FeedbackPageContent,Static,1,NULL,Feedback Content,2,2010-03-17 00:00:00
17,LinksEUinternationalPageContent,Static,1,NULL,Links EU/international Content,2,2010-03-17 00:00:00
19,LinksNationalRegistersPageContent,Static,1,NULL,Links National PRTRs Content,2,2010-03-17 00:00:00
21,LinksResearchProjectsPageContent,Static,1,NULL,"Links Information Sources Content ",2,2010-03-17 00:00:00
25,NewsPageContent,Static,1,NULL,News Content,2,2010-03-17 00:00:00
27,PeopleCommunityPageContent,Static,1,NULL,People/Community Page Content,2,2010-03-17 00:00:00
29,ReviewFactSheetPageContent,Static,1,NULL,Review Factsheet Content,2,2010-03-17 00:00:00
31,ReviewReportPageContent,Static,1,NULL,Review Report Content,2,2010-03-17 00:00:00
33,ConfidentialityExplanationFacilityList,Common,1,"General description of confidentiality. Will be shown in menu: Facility Level, Sheet: Confidentiality.",Facility Search - List,3,2010-03-17 00:00:00
34,ConfidentialityExplanationFacilityLevel,Common,1,General description of confidentiality for a single facility. Will be shown on Facility Details: Sheet: Confidentiality.,Facility Search - Facility Details,3,2010-03-17 00:00:00
35,ConfidentialityExplanationPT1,Common,1,"Short description of confidentiality for pollutant transfers. Will be shown in menu: Pollutant Transfers, Sheet: Confidentiality, Above tables.",Pollutant Transfers - Text 1,3,2010-03-17 00:00:00
36,ConfidentialityExplanationPT2,Common,1,"Longer description of confidentiality for pollutant transfers. Will be shown in menu: Pollutant Transfers, Sheet: Confidentiality, Below tables.",Pollutant Transfers - Text 2,3,2010-03-17 00:00:00
37,ConfidentialityExplanationPR1,Common,1,"Short description of confidentiality for pollutant releases. Will be shown in menu: Pollutant Releases, Sheet: Confidentiality, Above tables.",Pollutant Releases - Text 1,3,2010-03-17 00:00:00
38,ConfidentialityExplanationPR2,Common,1,"Longer description of confidentiality for pollutant releases. Will be shown in menu: Pollutant Releases, Sheet: Confidentiality, Below tables.",Pollutant Releases - Text 2,3,2010-03-17 00:00:00
39,ConfidentialityExplanationWT1,Common,1,"Short description of confidentiality for waste transfers. Will be shown in menu: Waste Transfers, Sheet: Confidentiality, Above tables.",Waste Transfers - Text 1,3,2010-03-17 00:00:00
40,ConfidentialityExplanationWT2,Common,1,"Longer description of confidentiality for waste transfers. Will be shown in menu: Waste Transfers, Sheet: Confidentiality, Below tables.",Waste Transfers - Text 2,3,2010-03-17 00:00:00
41,ConfidentialityExplanationWTRecievers1,Common,1,"Short description of confidentiality for waste receivers. Will be shown in menu: Waste Transfers, Sheet: Haz. receivers, Sub sheet for one country, Sheet: Confidentiality, Above tables.",Waste receivers - Text 1,3,2010-03-17 00:00:00
42,ConfidentialityExplanationWTRecievers2,Common,1,"Longer description of confidentiality for waste recievers. Will be shown in menu: Waste Transfers, Sheet: Haz. receivers, Sub sheet for one country, Sheet: Confidentiality, Below tables.",Waste receivers - Text 2,3,2010-03-17 00:00:00
43,DisclaimerTextConfidentiality,Facility,1,NULL,DisclaimerTextConfidentiality,1,2010-03-17 00:00:00
44,DisclaimerTextFacilityDetails,Facility,1,NULL,DisclaimerTextFacilityDetails,1,2010-03-17 00:00:00
45,DisclaimerTextGeneral,Facility,1,NULL,DisclaimerTextGeneral,1,2010-03-17 00:00:00
46,DisclaimerTextPollutantReleases,Facility,1,NULL,DisclaimerTextPollutantReleases,1,2010-03-17 00:00:00
47,DisclaimerTextPollutantTransfers,Facility,1,NULL,DisclaimerTextPollutantTransfers,1,2010-03-17 00:00:00
48,DisclaimerTextWaste,Facility,1,NULL,DisclaimerTextWaste,1,2010-03-17 00:00:00
49,ActivityPageContent,Library,1,NULL,ActivityPageContent,2,2010-03-17 00:00:00
53,WastePageContent,Library,1,NULL,WastePageContent,2,2010-03-17 00:00:00
55,ConfReleaseDesc,Pollutant,1,"Short description of confidentiality for pollutant releases. Will be shown in menu: Industrial Activities, Sheet: Confidentiality, Radio button:Pollutant releases, Above tables.",Industrial Activities - Pollutant Releases,3,2010-03-17 00:00:00
56,ConfTransfersDesc,Pollutant,1,"Short description of confidentiality for pollutant transfers. Will be shown in menu: Industrial Activities, Sheet: Confidentiality, Radio button:Pollutant transfers, Above tables.",Industrial Activities - Pollutant Transfers,3,2010-03-17 00:00:00
57,ConfWasteDesc,WasteTransfers,1,"Short description of confidentiality for waste transfers. Will be shown in menu: Industrial Activities, Sheet: Confidentiality, Radio button:Waste transfers, Above tables.",Industrial Activities - Waste Transfers,3,2010-03-17 00:00:00
60,Approach,DiffuseSources,1,Page describing the approach for diffuse sources,Approach,4,2010-03-17 00:00:00
61,aSubheadline,DiffuseSources,1,This text is presented at the top of the diffuse sources page for air,Air: Subheadline,6,2010-03-17 00:00:00
62,wpaggr.SourceData,DiffuseSources,1,NULL,Water: P/agr. land - Source Data,4,2010-03-17 00:00:00
63,wnaggr.GeneralInformation,DiffuseSources,1,NULL,Water: N/agr. land - General Information,4,2010-03-17 00:00:00
64,wnaggr.Methodology,DiffuseSources,1,NULL,Water: N/agr. land - Methodology,4,2010-03-17 00:00:00
65,wnaggr.SourceData,DiffuseSources,1,NULL,Water: N/agr. land - Source Data,4,2010-03-17 00:00:00
66,wnaggr.TitleFull,DiffuseSources,0,NULL,Water: N/agr. land - Full title,4,2010-03-17 00:00:00
67,wnaggr.TitleShort,DiffuseSources,0,NULL,Water: N/agr. land - Short title,4,2010-03-17 00:00:00
68,wnrbd.GeneralInformation,DiffuseSources,1,NULL,Water: N/RBD - General Information,4,2010-03-17 00:00:00
69,wnrbd.Methodology,DiffuseSources,1,NULL,Water: N/RBD - Methodology,4,2010-03-17 00:00:00
70,wnrbd.SourceData,DiffuseSources,1,NULL,Water: N/RBD - Source Data,4,2010-03-17 00:00:00
71,wnrbd.TitleFull,DiffuseSources,0,NULL,Water: N/RBD - Full title,4,2010-03-17 00:00:00
72,wnrbd.TitleShort,DiffuseSources,0,NULL,Water: N/RBD - Short title,4,2010-03-17 00:00:00
73,wpaggr.GeneralInformation,DiffuseSources,1,NULL,Water: P/agr. land - General Information,4,2010-03-17 00:00:00
74,wpaggr.Methodology,DiffuseSources,1,NULL,Water: P/agr. land - Methodology,4,2010-03-17 00:00:00
75,wpaggr.TitleFull,DiffuseSources,0,NULL,Water: P/agr. land - Full title,4,2010-03-17 00:00:00
76,wpaggr.TitleShort,DiffuseSources,0,NULL,Water: P/agr. land - Short title,4,2010-03-17 00:00:00
77,wprbd.GeneralInformation,DiffuseSources,1,NULL,Water: P/RBD - General Information,4,2010-03-17 00:00:00
78,wprbd.Methodology,DiffuseSources,1,NULL,Water: P/RBD - Methodology,4,2010-03-17 00:00:00
79,wprbd.SourceData,DiffuseSources,1,NULL,Water: P/RBD - Source Data,4,2010-03-17 00:00:00
80,wprbd.TitleFull,DiffuseSources,0,NULL,Water: P/RBD - Full title,4,2010-03-17 00:00:00
81,wprbd.TitleShort,DiffuseSources,0,NULL,Water: P/RBD - Short title,4,2010-03-17 00:00:00
82,wSubheadline,DiffuseSources,1,This text is presented at the top of the diffuse sources page for water,Water: Subheadline,4,2010-03-17 00:00:00
83,ConfidentialityExplanationPR1,Timeseries,1,"Short description of confidentiality. Will be shown in menu Time Series -> Pollutant Release, Sheet: Confidentiality.",Time series - Pollutant release,3,2010-03-17 00:00:00
84,ConfidentialityExplanationWT1,Timeseries,1,"Short description of confidentiality. Will be shown in menu Time Series -> Waste Transfer, Sheet: Confidentiality.",Time series - Waste transfer,3,2010-03-17 00:00:00
85,ConfidentialityExplanationPT1,Timeseries,1,"Short description of confidentiality. Will be shown in menu Time Series -> Pollutant Transfer, Sheet: Confidentiality.",Time series - Pollutant transfer,3,2010-03-17 00:00:00
86,PollutantPageContent,Library,1,Temporare replacement of pollutant information page,Temporary pollutant content,2,2010-03-17 00:00:00
87,ConfidentialityExplanationTrendPR1,Facility,1,"Short description of confidentiality. Will be shown in facility level time series for Pollutant Releases, Sheet: Confidentiality.",Time series - Facility level - Pollutant release,3,2010-03-17 00:00:00
88,ConfidentialityExplanationTrendPT1,Facility,1,"Short description of confidentiality. Will be shown in facility level time series for PollutantTransfers, Sheet: Confidentiality.",Time series - Facility level - Pollutant transfer,3,2010-03-17 00:00:00
89,ConfidentialityExplanationTrendWT1,Facility,1,"Short description of confidentiality. Will be shown in facility level time series for WasteTransfers, Sheet: Confidentiality.",Time series - Facility level - Waste transfer,3,2010-03-17 00:00:00
90,ConfidentialityExplanation,AreaOverview,1,"General description of confidentiality. Will be shown in menu: Area overview, Sheet: Confidentiality.",Areaoverview,3,2010-03-17 00:00:00
91,SearchHelpFacilityHeader,Help,0,This is the header for the help page available from Facility Search,Facility Search Help Page Header,5,2010-03-17 00:00:00
92,SearchHelpFacility,Help,1,This is the help page available from Facility Search,Facility Search Help Page,5,2010-03-17 00:00:00
93,ActivityPageContentEPER,Library,1,NULL,Activity Page EPER,2,2010-10-04 11:15:12
94,PollutantPageContentEPER,Library,1,Temporary replacement of emission information page,Pollutant Content EPER,2,2010-10-04 11:15:12
95,DisclaimerTextFacilityDetailsEmissions,Facility,1,NULL,DisclaimerTextFacilityDetailsEmissions,1,2010-10-04 11:15:12
96,DisclaimerTextEmmissionsDirect,Facility,1,NULL,DisclaimerTextEmmissionsDirect,1,2010-10-04 11:15:12
97,DisclaimerTextEmisionsIndirect,Facility,1,NULL,DisclaimerTextEmisionsIndirect,1,2010-10-04 11:15:12
98,AirNOx_NonIndustrialCombustion.TitleShort,DiffuseSources,0,NULL,NOx Non-industrial Combustion - Short title,6,2010-10-04 11:16:49
99,AirNOx_NonIndustrialCombustion.TitleFull,DiffuseSources,0,NULL,NOx Non-industrial Combustion - Full title,6,2010-10-04 11:16:49
100,AirNOx_NonIndustrialCombustion.GeneralInformation,DiffuseSources,1,NULL,NOx Non-industrial Combustion - General Information,6,2010-10-04 11:16:49
