ResourceValueID,ResourceKeyID,CultureCode,ResourceValue,ChangedDate
1,1,en-GB,"45.40 Sale, maintenance and repair of motorcycles and related parts and accessories",2010-03-17 00:00:00.0
2,2,en-GB,"46 Wholesale trade, except of motor vehicles and motorcycles",2010-03-17 00:00:00.0
3,3,en-GB,46.1 Wholesale on a fee or contract basis,2010-03-17 00:00:00.0
4,4,en-GB,"46.11 Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",2010-03-17 00:00:00.0
5,5,en-GB,"46.12 Agents involved in the sale of fuels, ores, metals and industrial chemicals",2010-03-17 00:00:00.0
6,6,en-GB,46.13 Agents involved in the sale of timber and building materials,2010-03-17 00:00:00.0
7,7,en-GB,"46.14 Agents involved in the sale of machinery, industrial equipment, ships and aircraft",2010-03-17 00:00:00.0
8,8,en-GB,"46.15 Agents involved in the sale of furniture, household goods, hardware and ironmongery",2010-03-17 00:00:00.0
9,9,en-GB,"46.16 Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",2010-03-17 00:00:00.0
10,10,en-GB,"46.17 Agents involved in the sale of food, beverages and tobacco",2010-03-17 00:00:00.0
11,11,en-GB,46.18 Agents specialised in the sale of other particular products,2010-03-17 00:00:00.0
12,12,en-GB,46.19 Agents involved in the sale of a variety of goods,2010-03-17 00:00:00.0
13,13,en-GB,46.2 Wholesale of agricultural raw materials and live animals,2010-03-17 00:00:00.0
14,14,en-GB,"46.21 Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",2010-03-17 00:00:00.0
15,15,en-GB,46.22 Wholesale of flowers and plants,2010-03-17 00:00:00.0
16,16,en-GB,46.23 Wholesale of live animals,2010-03-17 00:00:00.0
17,17,en-GB,"46.24 Wholesale of hides, skins and leather",2010-03-17 00:00:00.0
18,18,en-GB,"46.3 Wholesale of food, beverages and tobacco",2010-03-17 00:00:00.0
19,19,en-GB,46.31 Wholesale of fruit and vegetables,2010-03-17 00:00:00.0
20,20,en-GB,46.32 Wholesale of meat and meat products,2010-03-17 00:00:00.0
21,21,en-GB,"46.33 Wholesale of dairy products, eggs and edible oils and fats",2010-03-17 00:00:00.0
22,22,en-GB,46.34 Wholesale of beverages,2010-03-17 00:00:00.0
23,23,en-GB,46.35 Wholesale of tobacco products,2010-03-17 00:00:00.0
24,24,en-GB,46.36 Wholesale of sugar and chocolate and sugar confectionery,2010-03-17 00:00:00.0
25,25,en-GB,"46.37 Wholesale of cofee, tea, cocoa and spices",2010-03-17 00:00:00.0
26,26,en-GB,"46.38 Wholesale of other food, including fish, crustaceans and molluscs",2010-03-17 00:00:00.0
27,27,en-GB,"46.39 Non-specialised wholesale of food, beverages and tobacco",2010-03-17 00:00:00.0
28,28,en-GB,46.4 Wholesale of household goods,2010-03-17 00:00:00.0
29,29,en-GB,46.41 Wholesale of textiles,2010-03-17 00:00:00.0
30,30,en-GB,46.42 Wholesale of clothing and footwear,2010-03-17 00:00:00.0
31,31,en-GB,46.43 Wholesale of electrical household appliances,2010-03-17 00:00:00.0
32,32,en-GB,46.44 Wholesale of china and glassware and cleaning materials,2010-03-17 00:00:00.0
33,33,en-GB,46.45 Wholesale of perfume and cosmetics,2010-03-17 00:00:00.0
34,34,en-GB,46.46 Wholesale of pharmaceutical goods,2010-03-17 00:00:00.0
35,35,en-GB,"46.47 Wholesale of furniture, carpets and lighting equipment",2010-03-17 00:00:00.0
36,36,en-GB,46.48 Wholesale of watches and jewellery,2010-03-17 00:00:00.0
37,37,en-GB,46.49 Wholesale of other household goods,2010-03-17 00:00:00.0
38,38,en-GB,46.5 Wholesale of information and communication equipment,2010-03-17 00:00:00.0
39,39,en-GB,"46.51 Wholesale of computers, computer peripheral equipment and software",2010-03-17 00:00:00.0
40,40,en-GB,46.52 Wholesale of electronic and telecommunications equipment and parts,2010-03-17 00:00:00.0
41,41,en-GB,"46.6 Wholesale of other machinery, equipment and supplies",2010-03-17 00:00:00.0
42,42,en-GB,"46.61 Wholesale of agricultural machinery, equipment and supplies",2010-03-17 00:00:00.0
43,43,en-GB,46.62 Wholesale of machine tools,2010-03-17 00:00:00.0
44,44,en-GB,46.65 Wholesale of office furniture,2010-03-17 00:00:00.0
45,45,en-GB,46.66 Wholesale of other office machinery and equipment,2010-03-17 00:00:00.0
46,46,en-GB,46.69 Wholesale of other machinery and equipment,2010-03-17 00:00:00.0
47,47,en-GB,46.7 Other specialised wholesale,2010-03-17 00:00:00.0
48,48,en-GB,"46.71 Wholesale of solid, liquid and gaseous fuels and related products",2010-03-17 00:00:00.0
49,49,en-GB,46.72 Wholesale of metals and metal ores,2010-03-17 00:00:00.0
50,50,en-GB,"46.73 Wholesale of wood, construction materials and sanitary equipment",2010-03-17 00:00:00.0
51,51,en-GB,"46.74 Wholesale of hardware, plumbing and heating equipment and supplies",2010-03-17 00:00:00.0
52,52,en-GB,46.75 Wholesale of chemical products,2010-03-17 00:00:00.0
53,53,en-GB,46.76 Wholesale of other intermediate products,2010-03-17 00:00:00.0
54,54,en-GB,46.77 Wholesale of waste and scrap,2010-03-17 00:00:00.0
55,55,en-GB,46.9 Non-specialised wholesale trade,2010-03-17 00:00:00.0
56,56,en-GB,46.90 Non-specialised wholesale trade,2010-03-17 00:00:00.0
57,57,en-GB,"47 Retail trade, except of motor vehicles and motorcycles",2010-03-17 00:00:00.0
58,58,en-GB,47.1 Retail sale in non-specialised stores,2010-03-17 00:00:00.0
59,59,en-GB,"47.11 Retail sale in non-specialised stores with food, beverages or tobacco predominating",2010-03-17 00:00:00.0
60,60,en-GB,47.19 Other retail sale in non-specialised stores,2010-03-17 00:00:00.0
61,61,en-GB,"47.2 Retail sale of food, beverages and tobacco in specialised stores",2010-03-17 00:00:00.0
62,62,en-GB,47.21 Retail sale of fruit and vegetables in specialised stores,2010-03-17 00:00:00.0
63,63,en-GB,47.22 Retail sale of meat and meat products in specialised stores,2010-03-17 00:00:00.0
